rg	i	u	d	c1	c2	c3	c4	p	p4	j					
#韻攝	韻系在廣韻的次序	開合呼	等	平聲韻目	上聲韻目	去聲韻目	入聲韻目	舒聲韻音值	促聲韻音值	同攝呼等下的顯示次序	註	平聲韻系在廣韻的次序	上聲韻系在廣韻的次序	入聲韻系在廣韻的次序	入聲韻系在廣韻的次序
山	34	開	3C	仙	獮	線	薛	iæn	iæt	1		下2	28	33	17
山	34	合	3C	仙	獮	線	薛	iuæn	iuæt	1		下2	28	33	17
效	35		4	蕭	篠	嘯		eu				下3	29	34	
效	36		3D	宵	小	笑		jæu				下4	30	35	
效	36		3C	宵	小	笑		iæu				下4	30	35	
效	37		2	肴	巧	效		au				下5	31	36	
效	38		1	豪	晧	号		ɑu				下6	32	37	
果	39	開	1	歌	哿	箇		ɑ				下7	33	38	
果	39	合	1	歌	哿	箇		uɑ			(歌合即是戈一合)	下7	33	38	
果	40	開	3B	戈	果	過		iɑ				下8	34	39	
果	40	合	3B	戈	果	過		iuɑ				下8	34	39	
假	41	開	2	麻	馬	禡		a				下9	35	40	
假	41	合	2	麻	馬	禡		ua				下9	35	40	
假	41	開	3B	麻	馬	禡		ia				下9	35	40	
宕	42	開	3B	陽	養	漾	藥	iɑŋ	iɑk			下10	36	41	18
宕	42	合	3B	陽	養	漾	藥	iuɑŋ	iuɑk			下10	36	41	18
宕	43	開	1	唐	蕩	宕	鐸	ɑŋ	ɑk			下11	37	42	19
宕	43	合	1	唐	蕩	宕	鐸	uɑŋ	uɑk			下11	38	42	19
梗	44	開	2	庚	梗	映	陌	aŋ	ak	2		下12	38	43	20
梗	44	合	2	庚	梗	映	陌	uaŋ	uak	2		下12	38	43	20
梗	44	開	3B	庚	梗	映	陌	iaŋ	iak	2		下12	38	43	20
梗	44	合	3B	庚	梗	映	陌	iuaŋ	iuak	2		下12	38	43	20
梗	45	開	2	耕	耿	諍	麥	ɐŋ	ɐk	1		下13	39	44	21
